id,source,idno,title,category,repository_id,publisher,nation,access,year_start,year_end,created_at,updated_at,page_views_total,download_count,landing_page,api_endpoint
605,microdatos.dane.gov.co,DANE-DIMPE-MTI-2018,Módulo de Trabajo Infantil - MTI - GEIH - 2018,Mercado Laboral.,MERCLAB-Microdatos,Dirección de Metodología y Producción Estadística - DIMPE,Colombia,direct,2018,2018,2019-04-08T19:49:06+00:00,2019-04-08T19:54:48+00:00,78493,4122,https://microdatos.dane.gov.co/index.php/catalog/605,https://microdatos.dane.gov.co/index.php/api/catalog/605
727,microdatos.dane.gov.co,DANE-DIMPE-ECSC-2020,Encuesta de Convivencia y Seguridad Ciudadana - ECSC - 2020,Seguridad y defensa.,SEGDEF-Microdatos,Departamento Administrativo Nacional de Estadística,Colombia,direct,2021,2021,2022-03-18T15:43:28+00:00,2022-03-18T17:30:13+00:00,129795,4105,https://microdatos.dane.gov.co/index.php/catalog/727,https://microdatos.dane.gov.co/index.php/api/catalog/727
400,microdatos.dane.gov.co,DANE-DIMPE-EDI-SECTOR-2014,Encuesta Sobre Ambiente y Desempeño Institucional Nacional  - EDI - 2014 (SECTOR),Gobierno.,GOB-Microdatos,Departamento Administrativo Nacional de Estadística - DANE - Dirección de Metodología y Producción Estadística - DIMPE,Colombia,direct,2014,2014,2016-04-11T21:26:13+00:00,2017-10-19T16:11:52+00:00,195614,4082,https://microdatos.dane.gov.co/index.php/catalog/400,https://microdatos.dane.gov.co/index.php/api/catalog/400
710,microdatos.dane.gov.co,DANE-DIMPE-GEIH-II-SEMESTRE-2020,Gran Encuesta Integrada de Hogares - GEIH - 2020 - San Andrés (II Semestre),Mercado Laboral.,MERCLAB-Microdatos,Dirección de Metodología y Producción Estadística - DIMPE,Colombia,direct,2020,2020,2021-05-10T21:14:05+00:00,2021-05-10T21:40:04+00:00,25116,4063,https://microdatos.dane.gov.co/index.php/catalog/710,https://microdatos.dane.gov.co/index.php/api/catalog/710
563,microdatos.dane.gov.co,DANE-DIMPE-EAM-1992-A-1994,Encuesta Anual Manufacturera – EAM - 1992 A 1994,Industria.,Ind-Microdatos,Departamento Administrativo Nacional de Estadística - DANE,Colombia,direct,1993,1995,2018-06-25T16:57:58+00:00,2018-12-24T17:39:54+00:00,449300,4059,https://microdatos.dane.gov.co/index.php/catalog/563,https://microdatos.dane.gov.co/index.php/api/catalog/563
813,microdatos.dane.gov.co,DANE-DIMPE-EDID-ENTIDAD-2023,Encuesta Sobre Ambiente y Desempeño Institucional Departamental- EDID - 2023 (ENTIDAD),Gobierno.,GOB-Microdatos,Departamento Administrativo Nacional de Estadística - DANE - Dirección de Metodología y Producción Estadística - DIMPE,Colombia,direct,2023,2023,2024-02-02T00:57:04+00:00,2024-02-06T02:50:15+00:00,76056,4053,https://microdatos.dane.gov.co/index.php/catalog/813,https://microdatos.dane.gov.co/index.php/api/catalog/813
686,microdatos.dane.gov.co,DANE-DIMPE-EAI-2015,Encuesta Ambiental Industrial - EAI - 2015,Industria.,Ind-Microdatos,Dirección de Metodología y Producción Estadística - DIMPE,Colombia,direct,2014,2015,2020-10-02T20:13:41+00:00,2020-10-02T20:21:43+00:00,96125,4021,https://microdatos.dane.gov.co/index.php/catalog/686,https://microdatos.dane.gov.co/index.php/api/catalog/686
197,microdatos.dane.gov.co,DANE- POBREZA MONETARIA-2011,Medición de Pobreza Monetaria  2011,Pobreza y condiciones de vida.,POBCONVID,Departamento Administrativo Nacional de Estadística - DANE,Colombia,direct,0,0,2014-05-22T17:06:41+00:00,2017-09-25T15:14:03+00:00,112169,4015,https://microdatos.dane.gov.co/index.php/catalog/197,https://microdatos.dane.gov.co/index.php/api/catalog/197
258,microdatos.dane.gov.co,COL-MINCULTURA-EMM-2012-2013,Estadísticas de Escuelas Municipales de Música - EMM - 2012 - 2013,,CAT_MET_MIN_CUL,Grupo de Música de la Dirección de Artes,Colombia,data_na,2012,2013,2014-08-06T15:39:02+00:00,2014-08-06T15:39:02+00:00,69642,4008,https://microdatos.dane.gov.co/index.php/catalog/258,https://microdatos.dane.gov.co/index.php/api/catalog/258
595,microdatos.dane.gov.co,DANE-DIMPE-EDI-ENTIDAD-2011,Encuesta Sobre Ambiente y Desempeño Institucional Nacional  - EDI- 2011 ( ENTIDAD),Gobierno.,GOB-Microdatos,Departamento Administrativo Nacional de Estadística - DANE - Dirección de Metodología y Producción Estadística -DIMPE-,Colombia,direct,2011,2011,2019-03-28T19:46:39+00:00,2019-03-28T21:08:35+00:00,183877,4004,https://microdatos.dane.gov.co/index.php/catalog/595,https://microdatos.dane.gov.co/index.php/api/catalog/595
667,microdatos.dane.gov.co,DANE-DIMPE-GEIH-II-SEMESTRE-2019,Gran Encuesta Integrada de Hogares - GEIH - 2019 - San Andrés (II Semestre),Mercado Laboral.,MERCLAB-Microdatos,Dirección de Metodología y Producción Estadística - DIMPE,Colombia,direct,2019,2019,2020-05-20T13:14:30+00:00,2020-05-20T13:26:55+00:00,114161,3958,https://microdatos.dane.gov.co/index.php/catalog/667,https://microdatos.dane.gov.co/index.php/api/catalog/667
619,microdatos.dane.gov.co,DANE-DIMPE-GEIH-I-SEMESTRE-2013,Gran Encuesta Integrada de Hogares - GEIH - 2013 - San Andrés (I Semestre),Mercado Laboral.,MERCLAB-Microdatos,Dirección de Metodología y Producción Estadística - DIMPE,Colombia,direct,2013,2013,2019-08-08T20:28:41+00:00,2019-08-08T20:36:49+00:00,118457,3939,https://microdatos.dane.gov.co/index.php/catalog/619,https://microdatos.dane.gov.co/index.php/api/catalog/619
715,microdatos.dane.gov.co,DANE-DIMPE-EGIT-2021,Encuesta de Gasto Interno en Turismo - EGIT -  2021,Servicios.,SER-Microdatos,Dirección de Metodología y Producción Estadística - DIMPE,Colombia,direct,0,0,2021-06-30T21:09:51+00:00,2022-02-14T21:44:36+00:00,65757,3910,https://microdatos.dane.gov.co/index.php/catalog/715,https://microdatos.dane.gov.co/index.php/api/catalog/715
